1,How did i lose my virginity?
2,Why can't i sleep at night?
3,what's that smell?
4,I got 99 problems but ________ain't one.
5,Maye she's born with it. Maybe it's _________.
6,What's the next Happy Meal toy?
7,Here is the church Here is the steeple Open the doors And there is __________.
8,It's a pity that kids these days are all getting involved with ________.
9,"Today on Maury: ""Help! My son is ________!"""
10,Alternative medicine is now embaracing the curative powers of ________.
11,And the Academy Award for ___________goes to ______.
12,What's that sound?
13,What ended my last relationship?
14,MTV's new reality show features eight washed-up celecrities living with _____________.
15,I drink to forget _________.
16,"I'm sorry, Professor, but I couldn't complete my homework because of ______."
17,WHat is Batman's guilty pleasure?
18,This is the way the world ends\This is the way the world ends\Not with a bang but with __________.
19,What's girl's best freind?
20,TSA guidelines now prohibit ________ on airplanes.
21,___________. That's how i want to die.
22,"For my next trick, I will pull ______ out of _________."
23,"In the new Disney Channel Original Movie, Hannah Mnotana struggles with __________ for the first time."
24,_________is a slippery slope that leads to __________.
25,I get by with a little help from _________.
26,"Dear Abby, I'm having some trouble with _______ and would like your advice. "
27,"Instead of coal, Santa now gives the bad children __________."
28,What's the most emo?
29,"In 1,000 years, when paper money is a distant memory, how ill we pay for goods and services?"
30,Introducing the amazing superthero/ sidekick duo! It's ____and _____!
31,"In N. Night Shyamalan's new movie, Brucn Wills discovers that ________ had really been ____ all along."
32,"A romantic, candlelit dinner would be incomplete without ______."
33,______________. Cetcha can't have just one!
34,White people like _______.
35,"_____________.High five, bro."
36,Next from J.K. Rowling : Harry Potter and the Chamber of _____________.
37,"Introducing Xtreme Baseball! It's like baseball, but with _______!"
38,"In a world ravaged by ________, our only solace is ________."
39,war! What is it good for?
40,"During sex, I like to think about _________."
41,What are my parents hiding from me?
42,What will always get you laid?
43,"In L.A. County  Jail,word is you can trade 200 cigarettes for __________."
44,What did I bring back from Mexico?
45,What don't you want to find in your Kung Pao chicken?
46,What  will I bring back in time to convince poeple that I am a powerful wizard?
47,How am i maintaining my relationship status?
48,___________________. It's a trap!
49,"Coming to Broadway this season, _______: The Musical. "
50,"Next on ESPN2, the World Series of _____________."
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,