1,Being on fire.
2,Racism.
3,Old-people smell.
4,A micropenis.
5,Women in yogurt commercials.
6,Classist undertones.
7,Not giving a shit about the Third World.
8,Inserting a mason jar into my anus.
9,Court-ordered rehab.
10,a windmill full of corpses.
11,The gays.
12,An oversized lollipop.
13,African children.
14,An asymmetric boob job.
15,Bingeing and purging.
16,The hardworking Mexican.
17,An Oedipus complex.
18,A tiny horse.
19,Boogers.
20,Penis envy.
21,Barack Obama.
22,My humps.
23,The Tempur-Pedic Swedish Sleep System.
24,Scientology
25,Dry heaving.
26,Skeletor.
27,Darth Vader.
28,Figgy pudding.
29,"Advice from a wise, old black man."
30,Five-Dollar Footlongs.
31,Elderly Japanese men.
32,Free samples.
33,Estrogen.
34,Sexual tension.
35,Famine.
36,A stray pube.
37,Men.
38,Heartwarming orphans.
39,Chunks of dead hitchhiker.
40,A bag of magic beans.
41,Repression.
42,prancing.
43,My relationship status.
44,Overcompensation.
45,Peeing a little bit.
46,Pooping back and forth. Forever.
47,"A ball of earwax, semen, and toenail clippings."
48,Testicular torsion.
49,The Decil himself.
50,The World of Warcraft.
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,