1,Children on leashes.
2,Catapults.
3,Teenage pregnancy.
4,German dungeo porn.
5,The invisible hand
6,My inner demons
7,Powerful thighs.
8,Getting naked and watching Nickelodeon.
9,Crippling debt
10,Kamikaze pilots.
11,Teaching a robot to love
12,Police brutality.
13,horse meat. 
14,All-you-can- eat shrimp for $4.99.
15,heteronormativity.
16,Michael Jackson.
17,A really cool hat.
18,Copping a feel.
19,crystal meth
20,Shapechifters.
21,Fingering.
22,A disappointing birthday party.
23,The Patriarchy.
24,My soul.
25,A sausage festival
26,The Chronic.
27,Eugenics.
28,Synergistic management solutions.
29,RoboCop.
30,Serfdom.
31,Stephen Hawking Talking dirty.
32,A man on the brink of orgasm.
33,Fiery poops. Public ridicule.
34,White - man scalps.
35,The morbidly obese.
36,Object permanence.
37,GoGurt
38,Lockjaw.
39,"Joe biden,"
40,Bio_engineered assault turtles with acid breath
41,Wet dreams
42,Hip hop jewels.
43,Firing a rifle into the air while balls deep in a squealing hog.
44,"Panda sex,"
45,ENecrphilia.
46,rave robbing.
47,A bleached asshole. 
48,Muhammand(Praise Be Unto Him).
49,Multiple stab wounds. 
50,
51,
52,
53,
54,
55,
56,